phi_p,phi_c
8.142284569138277e-05,0.03234669338677355
8.142284569138277e-05,0.07341482965931864
8.340681362725451e-05,0.02242685370741483
8.539078156312626e-05,0.01786372745490982
8.7374749498998e-05,0.014887775551102204
8.935871743486975e-05,0.012705410821643288
9.134268537074149e-05,0.011118236472945894
9.332665330661323e-05,0.009927855711422847
9.531062124248498e-05,0.0087374749498998
9.729458917835672e-05,0.007943887775551103
9.927855711422847e-05,0.00734869739478958
0.0001012625250501002,0.006753507014028057
0.00010324649298597196,0.0061583166332665334
0.0001052304609218437,0.005761523046092185
0.00010721442885771543,0.005364729458917836
0.00010919839679358718,0.004967935871743487
0.00011118236472945892,0.0045711422845691385
0.00011316633266533067,0.004372745490981964
0.00011515030060120241,0.003975951903807616
0.00011713426853707416,0.0037775551102204414
0.0001191182364729459,0.0035791583166332667
0.00012110220440881764,0.0033807615230460925
0.0001230861723446894,0.003182364729458918
0.00012507014028056114,0.0029839679358717435
0.0001270541082164329,0.0027855711422845693
0.00012903807615230462,0.0027855711422845693
0.00013102204408817637,0.002587174348697395
0.00013300601202404812,0.0023887775551102207
0.00013498997995991984,0.0023887775551102207
0.0001369739478957916,0.0021903807615230465
0.00013895791583166335,0.0021903807615230465
0.00014094188376753507,0.0019919839679358718
0.00014292585170340682,0.0019919839679358718
0.00014490981963927857,0.0017935871743486975
0.00014689378757515032,0.0017935871743486975
0.00014887775551102205,0.0015951903807615232
0.0001508617234468938,0.0015951903807615232
0.00015284569138276555,0.0015951903807615232
0.00015482965931863727,0.0013967935871743488
0.00015681362725450903,0.0013967935871743488
0.00015879759519038078,0.0013967935871743488
0.00016078156312625253,0.0011983967935871743
0.00016276553106212425,0.0011983967935871743
0.000164749498997996,0.0011983967935871743
0.00016673346693386776,0.0011983967935871743
0.0001687174348697395,0.001
0.00017070140280561123,0.001
0.00017268537074148298,0.001
0.00017466933867735473,0.001
