I,phi_p
0.001,7.9320146600733e-05
0.002,8.24683623418117e-05
0.003,8.502752513762568e-05
0.004,8.727978639893199e-05
0.005,8.934889674448372e-05
0.006,9.12843564217821e-05
0.007,9.312576562882815e-05
0.008,9.489787448937245e-05
0.009000000000000001,9.661058305291526e-05
0.010000000000000002,9.827379136895684e-05
0.011,9.990234951174755e-05
0.012,0.00010150120750603753
0.013000000000000001,0.00010307036535182676
0.014000000000000002,0.00010461972309861549
0.015,0.00010614928074640373
0.016,0.00010766893834469172
0.017,0.00010916879584397921
0.018000000000000002,0.00011066370331851659
0.019000000000000003,0.00011214871074355372
0.02,0.00011362381811909059
0.021,0.00011509397546987735
0.022000000000000002,0.0001165641328206641
0.023,0.00011802439012195061
0.024,0.00011948959744798724
0.025,0.00012094985474927374
0.026000000000000002,0.00012241011205056025
0.027000000000000003,0.00012387036935184676
0.028,0.0001253355766778834
0.029,0.0001267958339791699
0.030000000000000002,0.00012826599132995665
0.031,0.0001297361486807434
0.032,0.00013120630603153017
0.033,0.00013268636343181716
0.034,0.00013417137085685427
0.035,0.0001356563782818914
0.036000000000000004,0.0001371512857564288
0.037000000000000005,0.00013865114325571626
0.038,0.00014016090080450403
0.039,0.0001416756083780419
0.04,0.00014319526597632987
0.041,0.00014472482362411812
0.042,0.0001462642813214066
0.043000000000000003,0.00014780868904344522
0.044000000000000004,0.0001493679468397342
0.045,0.0001509321546607733
0.046,0.00015250626253131264
0.047,0.00015409027045135224
0.048,0.0001556841784208921
0.049,0.00015729293646468231
0.05,0.00015891159455797278
0.051000000000000004,0.0001605401527007635
0.052000000000000005,0.00016217861089305445
0.053000000000000005,0.0001638319191595958
0.054,0.00016549512747563737
0.055,0.00016717318586592932
0.056,0.00016886609433047165
0.057,0.00017056890284451422
0.058,0.00017228656143280716
0.059000000000000004,0.00017401907009535048
0.060000000000000005,0.00017576642883214416
0.061,0.0001775286376431882
0.062,0.00017930569652848264
0.063,0.00018109760548802744
0.064,0.00018290931454657271
0.065,0.00018473092365461826
0.066,0.0001865723328616643
0.067,0.00018843354216771082
