phi_p,phi_c,I,label
3.206716499886956e-05,0.03519465567506879,0.1,False
0.00011641623104756883,0.0951876742859303,0.1,True
0.0006513527568722144,0.0034434933725837062,0.1,False
0.0009610911692090055,0.06612824494771849,0.1,True
0.0007725962271377001,0.09103736479806687,0.1,True
0.0009091700834358777,0.07129966008748764,0.1,False
0.00023566234850774928,0.07583618511813768,0.1,False
0.00026126456763351494,0.04576716848535929,0.1,True
0.00035596565699787106,0.039069819066737024,0.1,True
0.0004623019038714532,0.09343978727585811,0.1,True
0.0005580214413251806,0.05376085057914313,0.1,True
0.0008095277564572132,0.05548894061736839,0.1,True
0.00023106402608893183,0.007193858049746935,0.1,True
0.00062871869624156,0.051651279355153686,0.1,True
0.0007442096267183389,0.08965896226582329,0.1,True
0.0002810247180413414,0.06642865470850608,0.1,True
0.0008379305892378447,0.013381006869957069,0.1,True
8.215207851206951e-05,0.0359348102560316,0.1,True
0.00020046482898165806,0.058660351815742875,0.1,True
0.0006109042598459578,0.02006016352283381,0.1,True
0.0007685618576632112,0.0035208797485963973,0.1,True
0.0008239127099695305,0.03358110456921751,0.1,True
5.981684588530304e-05,0.05573148968789213,0.1,False
0.0008494939381834407,0.050400342009702746,0.1,True
0.0009417866072905014,0.0478506625127505,0.1,True
0.0008280188012943272,0.0028224724708514615,0.1,True
0.0007054898300436731,0.011532348640147704,0.1,True
0.0009151456702308461,0.09187031085405215,0.1,True
0.0008588595454787761,0.042354053603795606,0.1,True
0.0005360489406085265,0.09323152154098686,0.1,True
0.0007467890194660283,0.04051356392606442,0.1,True
0.00010586193169383721,0.0744739854034493,0.1,True
0.0008439182774079689,0.048409403932598793,0.1,True
0.0005275861733515182,0.06336325110993377,0.1,False
0.0003366634918313761,0.020542227778593148,0.1,True
0.00017786608435669605,0.037543695043091165,0.1,True
0.000983109687005395,0.053478493029623424,0.1,True
0.0001625630585559867,0.051381831888945226,0.1,True
0.0009353400409500566,0.033188622496826976,0.1,True
0.0006416471355312466,0.010080010656394803,0.1,True
0.00021666620641608576,0.08113547426921949,0.1,True
6.37871969630542e-05,0.07637254637323786,0.1,False
0.000765429677203996,0.06988606703640492,0.1,True
0.00029514052906875847,0.03515566995159939,0.1,True
0.0005043145986997498,0.04100584150910941,0.1,True
0.0007386282310341335,0.09963131372496711,0.1,False
