I,phi_p
0.001,7.932199660998305e-05
0.002,8.246621233106166e-05
0.003,8.502337511687558e-05
0.004,8.72720863604318e-05
0.005,8.934169670848355e-05
0.006,9.128195640978204e-05
0.007,9.312271561357807e-05
0.008,9.489382446912234e-05
0.009000000000000001,9.660523302616514e-05
0.010000000000000002,9.826689133445667e-05
0.011,9.989869949349747e-05
0.012,0.00010150065750328752
0.013000000000000001,0.00010307276536382682
0.014000000000000002,0.00010461502307511537
0.015,0.00010614733073665368
0.016,0.00010765973829869149
0.017,0.0001091721458607293
0.018000000000000002,0.00011066465332326662
0.019000000000000003,0.00011214721073605368
0.02,0.00011361981809909049
0.021,0.00011509242546212731
0.022000000000000002,0.00011656503282516413
0.023,0.00011802769013845069
0.024,0.00011949034745173726
0.025,0.00012094305471527358
0.026000000000000002,0.00012240571202856015
0.027000000000000003,0.00012386836934184673
0.028,0.00012533102665513327
0.029,0.00012679368396841984
0.030000000000000002,0.00012826629133145666
0.031,0.00012972894864474323
0.032,0.00013120155600778005
0.033,0.0001326841134205671
0.034,0.00013416667083335416
0.035,0.00013565917829589148
0.036000000000000004,0.0001371516857584288
0.037000000000000005,0.00013865414327071635
0.038,0.00014015660078300392
0.039,0.00014166900834504173
0.04,0.00014319136595682979
0.041,0.0001447236736183681
0.042,0.00014626593132965665
0.043000000000000003,0.0001478081890409452
0.044000000000000004,0.000149360396801984
0.045,0.0001509325046625233
0.046,0.00015250461252306263
0.047,0.00015408667043335217
0.048,0.00015567867839339197
0.049,0.00015729058645293226
0.05,0.00015890249451247257
0.051000000000000004,0.00016053430267151336
0.052000000000000005,0.0001621760608803044
0.053000000000000005,0.0001638277691388457
0.054,0.00016548942744713723
0.055,0.00016717098585492928
0.056,0.00016886249431247155
0.057,0.0001705639528197641
0.058,0.00017228531142655714
0.059000000000000004,0.0001740166200831004
0.060000000000000005,0.0001757678288391442
0.061,0.00017752898764493823
0.062,0.0001793000965004825
0.063,0.00018110105550527754
0.064,0.00018290201451007254
0.065,0.00018473282366411833
0.066,0.00018657358286791435
0.067,0.00018842429212146062
0.068,0.00019030485152425763
0.069,0.00019219536097680488
0.07,0.00019410577052885264
0.07100000000000001,0.0001960360801804009
0.07200000000000001,0.00019798628993144966
0.07300000000000001,0.00019995639978199892
0.074,0.00020194640973204866
0.075,0.00020395631978159892
0.076,0.0002059761798808994
0.077,0.00020802589012945065
0.078,0.0002100955004775024
0.079,0.00021219496097480488
0.08,0.00021430437152185762
0.081,0.0002164436322181611
0.082,0.00021860279301396507
